Date,Price,Open,High,Low,Vol.,Change %
25-Mar-15,54.2,54.2,54.2,54.2,-,0.46%
24-Mar-15,53.95,53.95,53.95,53.95,-,0.09%
23-Mar-15,53.9,53.9,53.9,53.9,0.05K,-0.09%
20-Mar-15,53.95,53.95,53.95,53.95,0.02K,0.37%
19-Mar-15,53.75,53.75,53.75,53.75,0.03K,-2.27%
18-Mar-15,55,55,55,55,0.02K,0.55%
17-Mar-15,54.7,54.7,54.7,54.7,0.03K,-0.09%
16-Mar-15,54.75,54.75,54.75,54.75,0.03K,-1.79%
13-Mar-15,55.75,55.75,55.75,55.75,0.02K,-0.54%
12-Mar-15,56.05,56.05,56.05,56.05,0.05K,-0.97%
11-Mar-15,56.6,56.6,56.6,56.6,0.08K,0.60%
10-Mar-15,56.26,56.26,56.26,56.26,-,-0.60%
09-Mar-15,56.6,56.6,56.6,56.6,-,0.27%
06-Mar-15,56.45,56.45,56.45,56.45,0.10K,-2.00%
05-Mar-15,57.6,57.6,57.6,57.6,0.06K,-2.95%
04-Mar-15,59.35,59.35,59.35,59.35,0.03K,-1.17%
03-Mar-15,60.05,60.05,60.05,60.05,0.05K,-2.36%
02-Mar-15,61.5,61.5,61.5,61.5,0.05K,-1.20%
27-Feb-15,62.25,62.25,62.25,62.25,0.17K,4.97%
26-Feb-15,59.3,59.3,59.3,59.3,0.05K,2.07%
25-Feb-15,58.1,58.1,58.1,58.1,0.07K,-1.11%
24-Feb-15,58.75,58.75,58.75,58.75,-,0.00%
23-Feb-15,58.75,58.75,58.75,58.75,0.05K,-0.42%
20-Feb-15,59,59,59,59,0.10K,0.51%
19-Feb-15,58.7,58.7,58.7,58.7,0.15K,-0.68%
18-Feb-15,59.1,59.1,59.1,59.1,0.16K,-2.48%
17-Feb-15,60.6,60.6,60.6,60.6,0.18K,-2.42%
16-Feb-15,62.1,62.1,62.1,62.1,0.10K,2.81%
13-Feb-15,60.4,60.4,60.4,60.4,0.02K,1.94%
12-Feb-15,59.25,59.25,59.25,59.25,0.11K,0.51%
11-Feb-15,58.95,58.95,58.95,58.95,0.07K,0.44%
10-Feb-15,58.69,58.69,58.69,58.69,0.07K,0.14%
09-Feb-15,58.61,58.61,58.61,58.61,0.03K,0.98%
06-Feb-15,58.04,58.04,58.04,58.04,0.03K,-0.67%
05-Feb-15,58.43,58.43,58.43,58.43,0.03K,1.65%
04-Feb-15,57.48,57.48,57.48,57.48,-,-0.23%
03-Feb-15,57.61,57.61,57.61,57.61,0.03K,0.44%
02-Feb-15,57.36,57.36,57.36,57.36,-,-1.68%
30-Jan-15,58.34,58.34,58.34,58.34,0.01K,0.36%
29-Jan-15,58.13,58.13,58.13,58.13,-,-0.33%
28-Jan-15,58.32,58.32,58.32,58.32,-,1.78%
27-Jan-15,57.3,57.3,57.3,57.3,-,0.69%
26-Jan-15,56.91,56.91,56.91,56.91,-,-0.72%
23-Jan-15,57.32,57.32,57.32,57.32,-,-1.09%
22-Jan-15,57.95,57.95,57.95,57.95,0.01K,-0.63%
21-Jan-15,58.32,58.32,58.32,58.32,0.01K,2.41%
20-Jan-15,56.95,56.95,56.95,56.95,0.02K,2.26%
19-Jan-15,55.69,55.69,55.69,55.69,0.03K,1.81%
16-Jan-15,54.7,54.7,54.7,54.7,0.03K,-0.13%
15-Jan-15,54.77,54.77,54.77,54.77,0.06K,-1.72%
14-Jan-15,55.73,55.73,55.73,55.73,0.03K,-1.10%
13-Jan-15,56.35,56.35,56.35,56.35,0.02K,1.46%
12-Jan-15,55.54,55.54,55.54,55.54,0.04K,-1.77%
09-Jan-15,56.54,56.54,56.54,56.54,0.01K,0.32%
08-Jan-15,56.36,56.36,56.36,56.36,0.03K,-1.02%
07-Jan-15,56.94,56.94,56.94,56.94,0.06K,-1.39%
06-Jan-15,57.74,57.74,57.74,57.74,0.03K,-0.88%
05-Jan-15,58.25,58.25,58.25,58.25,0.05K,-1.99%
02-Jan-15,59.43,59.43,59.43,59.43,-,-1.85%
31-Dec-14,60.55,60.55,60.55,60.55,-,-0.23%
30-Dec-14,60.69,60.69,60.69,60.69,0.01K,-0.12%
29-Dec-14,60.76,60.76,60.76,60.76,0.01K,-0.65%
24-Dec-14,61.16,61.16,61.16,61.16,-,-0.11%
23-Dec-14,61.23,61.23,61.23,61.23,-,-0.24%
22-Dec-14,61.38,61.38,61.38,61.38,0.01K,-0.28%
19-Dec-14,61.55,61.55,61.55,61.55,0.03K,-0.45%
18-Dec-14,61.83,61.83,61.83,61.83,0.06K,0.57%
17-Dec-14,61.48,61.48,61.48,61.48,0.03K,-0.15%
