Date,Price,Open,High,Low,Vol.,Change %
2022-04-14,7.3,7.046,7.346,6.95,214.22K,4.33%
2022-04-13,6.997,6.704,7.091,6.652,210.55K,4.75%
2022-04-12,6.68,6.705,6.947,6.6,234.25K,0.56%
2022-04-11,6.643,6.394,6.722,6.247,177.96K,5.81%
2022-04-08,6.278,6.411,6.538,6.257,188.34K,-1.27%
2022-04-07,6.359,6.116,6.44,6,199.51K,5.47%
2022-04-06,6.029,6.078,6.394,6,166.72K,-0.05%
2022-04-05,6.032,5.782,6.201,5.771,158.22K,5.60%
2022-04-04,5.712,5.745,5.857,5.65,137.18K,-0.14%
2022-04-01,5.72,5.627,5.778,5.505,178.52K,1.38%
2022-03-31,5.642,5.575,5.832,5.454,159.72K,0.66%
2022-03-30,5.605,5.329,5.624,5.27,117.85K,5.04%
2022-03-29,5.336,5.453,5.491,5.255,2.27K,-3.12%
2022-03-28,5.508,5.551,5.652,5.419,33.91K,-1.13%
2022-03-25,5.571,5.401,5.577,5.345,29.47K,3.15%
2022-03-24,5.401,5.115,5.464,5.063,84.23K,3.23%
2022-03-23,5.232,5.147,5.33,5.092,74.54K,0.87%
2022-03-22,5.187,4.948,5.204,4.877,122.75K,5.86%
2022-03-21,4.9,4.909,4.976,4.748,75.46K,0.76%
2022-03-18,4.863,4.93,4.957,4.811,67.27K,-2.55%
2022-03-17,4.99,4.747,5.001,4.691,93.84K,5.10%
2022-03-16,4.748,4.625,4.776,4.594,80.52K,3.94%
2022-03-15,4.568,4.679,4.682,4.459,86.94K,-1.93%
2022-03-14,4.658,4.705,4.759,4.506,73.96K,-1.42%
2022-03-11,4.725,4.657,4.797,4.622,84.51K,2.03%
2022-03-10,4.631,4.52,4.671,4.499,81.81K,2.32%
2022-03-09,4.526,4.569,4.625,4.45,95.13K,-0.02%
2022-03-08,4.527,4.818,4.882,4.507,159.17K,-6.33%
2022-03-07,4.833,5.041,5.184,4.781,130.86K,-3.65%
2022-03-04,5.016,4.75,5.045,4.728,125.39K,6.23%
2022-03-03,4.722,4.795,4.936,4.628,137.15K,-0.84%
2022-03-02,4.762,4.6,4.911,4.6,141.69K,4.13%
2022-03-01,4.573,4.408,4.627,4.34,112.55K,3.88%
2022-02-28,4.402,4.62,4.683,4.366,107.19K,-1.52%
2022-02-25,4.47,4.573,4.716,4.417,114.86K,-2.15%
2022-02-24,4.568,4.603,4.94,4.293,3.54K,-1.19%
2022-02-23,4.623,4.504,4.704,4.452,47.18K,2.78%
2022-02-22,4.498,4.594,4.861,4.448,42.64K,-4.40%
2022-02-21,4.705,4.58,4.745,4.52,,2.75%
2022-02-20,4.579,4.529,4.598,4.527,,3.34%
2022-02-18,4.431,4.517,4.654,4.371,73.22K,-1.23%
2022-02-17,4.486,4.642,4.793,4.402,117.79K,-4.90%
2022-02-16,4.717,4.393,4.74,4.37,155.48K,9.54%
2022-02-15,4.306,4.183,4.428,4.157,141.95K,2.65%
2022-02-14,4.195,4.103,4.229,4.04,121.20K,6.45%
2022-02-11,3.941,3.944,4.056,3.876,177.37K,-0.45%
2022-02-10,3.959,4.035,4.068,3.882,141.74K,-1.25%
2022-02-09,4.009,4.211,4.259,3.983,154.60K,-5.63%
2022-02-08,4.248,4.276,4.381,4.173,154.44K,0.38%
2022-02-07,4.232,4.384,4.468,4.12,192.86K,-7.44%
2022-02-04,4.572,4.929,5.087,4.487,152.12K,-6.46%
2022-02-03,4.888,5.42,5.454,4.816,205.84K,-11.14%
2022-02-02,5.501,4.893,5.572,4.857,305.90K,15.79%
2022-02-01,4.751,4.921,4.974,4.62,140.79K,-2.52%
2022-01-31,4.874,4.867,5.057,4.695,156.75K,5.07%
2022-01-28,4.639,4.342,4.876,4.286,263.42K,8.31%
2022-01-27,4.283,4,4.42,3.99,7.18K,0.14%
2022-01-26,4.277,4.04,4.39,4.011,44.32K,5.53%
2022-01-25,4.053,3.959,4.079,3.889,23.44K,0.65%
2022-01-24,4.027,3.915,4.068,3.876,47.10K,0.70%
