Date,Price,Open,High,Low,Vol.,Change %
31-Aug-17,20.15,20.15,20.15,20.15,-,1.00%
30-Aug-17,19.95,19.95,19.95,19.95,-,-0.25%
29-Aug-17,20,20,20,20,-,0.00%
28-Aug-17,20,20,20,20,-,-0.74%
25-Aug-17,20.15,20.15,20.15,20.15,-,-0.49%
24-Aug-17,20.25,20.25,20.25,20.25,-,-1.22%
23-Aug-17,20.5,20.5,20.5,20.5,-,0.00%
22-Aug-17,20.5,20.5,20.5,20.5,-,0.00%
21-Aug-17,20.5,20.5,20.5,20.5,-,-1.68%
18-Aug-17,20.85,20.85,20.85,20.85,-,0.00%
17-Aug-17,20.85,20.85,20.85,20.85,-,0.00%
16-Aug-17,20.85,20.85,20.85,20.85,-,0.48%
15-Aug-17,20.75,20.75,20.75,20.75,-,-0.24%
14-Aug-17,20.8,20.8,20.8,20.8,-,0.00%
11-Aug-17,20.8,20.8,20.8,20.8,-,0.00%
10-Aug-17,20.8,20.8,20.8,20.8,-,0.73%
09-Aug-17,20.65,20.65,20.65,20.65,-,0.00%
08-Aug-17,20.65,20.65,20.65,20.65,-,0.73%
07-Aug-17,20.5,20.5,20.5,20.5,-,0.49%
04-Aug-17,20.4,20.4,20.4,20.4,-,0.00%
03-Aug-17,20.4,20.4,20.4,20.4,-,0.74%
02-Aug-17,20.25,20.25,20.25,20.25,-,0.50%
01-Aug-17,20.15,20.15,20.15,20.15,-,0.50%
31-Jul-17,20.05,20.05,20.05,20.05,-,-2.20%
28-Jul-17,20.5,20.5,20.5,20.5,-,0.00%
27-Jul-17,20.5,20.5,20.5,20.5,-,0.00%
26-Jul-17,20.5,20.5,20.5,20.5,-,-0.73%
25-Jul-17,20.65,20.65,20.65,20.65,-,0.00%
24-Jul-17,20.65,20.65,20.65,20.65,-,0.49%
21-Jul-17,20.55,20.55,20.55,20.55,-,0.00%
20-Jul-17,20.55,20.55,20.55,20.55,-,1.48%
19-Jul-17,20.25,20.25,20.25,20.25,-,0.50%
18-Jul-17,20.15,20.15,20.15,20.15,-,0.00%
17-Jul-17,20.15,20.15,20.15,20.15,-,-2.89%
14-Jul-17,20.75,20.75,20.75,20.75,-,0.00%
13-Jul-17,20.75,20.75,20.75,20.75,-,0.00%
12-Jul-17,20.75,20.75,20.75,20.75,-,0.00%
11-Jul-17,20.75,20.75,20.75,20.75,-,0.97%
10-Jul-17,20.55,20.55,20.55,20.55,-,1.48%
07-Jul-17,20.25,20.25,20.25,20.25,-,0.00%
06-Jul-17,20.25,20.25,20.25,20.25,-,0.00%
05-Jul-17,20.25,20.25,20.25,20.25,-,0.00%
03-Jul-17,20.25,20.25,20.25,20.25,-,-1.22%
30-Jun-17,20.5,20.5,20.5,20.5,-,0.00%
29-Jun-17,20.5,20.5,20.5,20.5,-,0.24%
28-Jun-17,20.45,20.45,20.45,20.45,-,0.99%
27-Jun-17,20.25,20.25,20.25,20.25,-,0.75%
26-Jun-17,20.1,21.5,24.3,24.3,-,-0.25%
23-Jun-17,20.15,20.15,20.15,20.15,-,0.50%
22-Jun-17,20.05,20.05,20.05,20.05,-,0.00%
21-Jun-17,20.05,20.05,20.05,20.05,-,0.25%
20-Jun-17,20,21.5,24.3,24.3,-,0.00%
19-Jun-17,20,21.5,24.3,24.3,-,0.00%
16-Jun-17,20,20,20,20,-,0.00%
15-Jun-17,20,20,20,20,-,0.00%
14-Jun-17,20,21.5,24.3,24.3,-,0.00%
13-Jun-17,20,20,20,20,-,0.00%
12-Jun-17,20,20,20,20,-,2.83%
09-Jun-17,19.45,19.45,19.45,19.45,0.14K,-1.02%
08-Jun-17,19.65,19.65,19.65,19.65,-,0.00%
07-Jun-17,19.65,21.5,24.3,24.3,-,2.61%
06-Jun-17,19.15,19.15,19.15,19.15,-,0.00%
05-Jun-17,19.15,19.15,19.15,19.15,-,-1.79%
02-Jun-17,19.5,19.5,19.5,19.5,-,0.00%
01-Jun-17,19.5,19.5,19.5,19.5,-,-1.27%
31-May-17,19.75,19.75,19.75,19.75,-,0.00%
30-May-17,19.75,19.75,19.75,19.75,-,1.28%
26-May-17,19.5,19.5,19.5,19.5,-,-2.50%
25-May-17,20,20,20,20,-,0.00%
24-May-17,20,20,20,20,-,-1.23%
23-May-17,20.25,20.25,20.25,20.25,-,-6.90%
22-May-17,21.75,21.75,21.75,21.75,-,0.00%
19-May-17,21.75,21.75,21.75,21.75,-,0.00%
18-May-17,21.75,21.75,21.75,21.75,-,0.00%
17-May-17,21.75,21.75,21.75,21.75,-,0.46%
16-May-17,21.65,21.65,21.65,21.65,-,0.70%
15-May-17,21.5,21.5,21.5,21.5,-,-5.08%
12-May-17,22.65,22.65,22.65,22.65,-,0.00%
11-May-17,22.65,22.65,22.65,22.65,-,0.67%
10-May-17,22.5,22.5,22.5,22.5,-,0.00%
09-May-17,22.5,22.5,22.5,22.5,-,-0.66%
08-May-17,22.65,22.65,22.65,22.65,-,-0.44%
05-May-17,22.75,22.75,22.75,22.75,-,0.44%
04-May-17,22.65,22.65,22.65,22.65,-,0.00%
03-May-17,22.65,22.65,22.65,22.65,-,0.00%
02-May-17,22.65,22.65,22.65,22.65,-,0.00%
